x_m,y_m,w_tr_right_m,w_tr_left_m
33.273544749,3.414523012,0.457200000,0.457200000
33.296548022,3.424095196,0.457200000,0.457200000
33.319533985,3.433708873,0.457200000,0.457200000
33.342502563,3.443364013,0.457200000,0.457200000
33.365453680,3.453060584,0.457200000,0.457200000
33.388387263,3.462798554,0.457200000,0.457200000
33.411303237,3.472577891,0.457200000,0.457200000
33.434201526,3.482398564,0.457200000,0.457200000
33.457082057,3.492260541,0.457200000,0.457200000
33.479944755,3.502163790,0.457200000,0.457200000
33.502789545,3.512108278,0.457200000,0.457200000
33.525616354,3.522093973,0.457200000,0.457200000
33.548425106,3.532120843,0.457200000,0.457200000
33.571215727,3.542188854,0.457200000,0.457200000
33.593988144,3.552297975,0.457200000,0.457200000
33.616742282,3.562448171,0.457200000,0.457200000
33.639478067,3.572639411,0.457200000,0.457200000
33.662195425,3.582871661,0.457200000,0.457200000
33.684894282,3.593144887,0.457200000,0.457200000
33.707574564,3.603459056,0.457200000,0.457200000
33.730236197,3.613814135,0.457200000,0.457200000
33.752879108,3.624210090,0.457200000,0.457200000
33.775503223,3.634646887,0.457200000,0.457200000
33.798108467,3.645124491,0.457200000,0.457200000
33.820694768,3.655642870,0.457200000,0.457200000
33.843262052,3.666201988,0.457200000,0.457200000
33.865810246,3.676801812,0.457200000,0.457200000
33.888339275,3.687442306,0.457200000,0.457200000
33.910849067,3.698123436,0.457200000,0.457200000
33.933301971,3.708834248,0.457200000,0.457200000
33.955730050,3.719596945,0.457200000,0.457200000
33.978133185,3.730411468,0.457200000,0.457200000
34.000511257,3.741277761,0.457200000,0.457200000
34.022864144,3.752195764,0.457200000,0.457200000
34.045191729,3.763165420,0.457200000,0.457200000
34.067493891,3.774186670,0.457200000,0.457200000
34.089770511,3.785259456,0.457200000,0.457200000
34.112021470,3.796383717,0.457200000,0.457200000
34.134246650,3.807559394,0.457200000,0.457200000
34.156445931,3.818786429,0.457200000,0.457200000
34.178619195,3.830064760,0.457200000,0.457200000
34.200766323,3.841394327,0.457200000,0.457200000
34.222887197,3.852775070,0.457200000,0.457200000
34.244981699,3.864206928,0.457200000,0.457200000
34.267049710,3.875689840,0.457200000,0.457200000
34.289091113,3.887223745,0.457200000,0.457200000
34.311105789,3.898808580,0.457200000,0.457200000
34.333093621,3.910444284,0.457200000,0.457200000
34.355054492,3.922130795,0.457200000,0.457200000
